Configuration	Term	g	Level (eV)
3s2.3p5	2P*	4	0
3s2.3p5	2P*	2	0.268475
3s.3p6	2S	2	16.1936
3s2.3p4.(1D).3d	2P	2	22.798
3s2.3p4.(1D).3d	2P	4	22.9713
3s2.3p4.(1D).3d	2D	4	23.6707
3s2.3p4.(1D).3d	2D	6	23.8151
3s2.3p4.(3P).3d	2F	6	24.9413
3s2.3p4.(3P).4s	4P	6	25.717038
3s2.3p4.(3P).4s	4P	4	25.873989
3s2.3p4.(3P).4s	4P	2	25.969891
3s2.3p4.(3P).4s	2P	4	26.374588
3s2.3p4.(3P).4s	2P	2	26.56142
3s2.3p4.(1D).4s	2D	6	27.9028
3s2.3p4.(1D).4s	2D	4	27.9069
3s2.3p4.(3P).4p	4P*	6	29.44773
3s2.3p4.(3P).4p	4P*	4	29.49735
3s2.3p4.(3P).4p	4P*	2	29.56466
3s2.3p4.(3P).4p	4D*	8	29.8591
3s2.3p4.(3P).3d	2P	4	29.8854
3s2.3p4.(3P).4p	4D*	6	29.93518
3s2.3p4.(1S).4s	2S	2	29.9629
3s2.3p4.(3P).4p	4D*	4	30.02467
3s2.3p4.(3P).4p	4D*	2	30.06948
3s2.3p4.(3P).3d	2P	2	30.0722
3s2.3p4.(3P).4p	2D*	6	30.14311
3s2.3p4.(3P).4p	2D*	4	30.18373
3s2.3p4.(3P).4p	2P*	4	30.24562
3s2.3p4.(1S).3d	2D	6	30.317
3s2.3p4.(3P).4p	2P*	2	30.42353
3s2.3p4.(1S).3d	2D	4	30.5014
3s2.3p4.(3P).4p	4S*	4	30.57768
3s2.3p4.(1D).3d	2S	2	31.1024
3s2.3p4.(3P).5s	2P	4	32.5865
3s2.3p4.(3P).5s	2P	2	32.7033
3s2.3p4.(1D).5s	2D	6	35.881
3s2.3p4.(1D).5s	2D	4	35.8958
3s2.3p4.(3P).3d	2D	6	37.4933
3s2.3p4.(3P).3d	2D	4	37.679
