Configuration	Term	g	Level (eV)
2s2.2p6	1S	1	0
2s2.2p5.3s	3P*	5	32.846429
2s2.2p5.3s	3P*	3	32.941314
2s2.2p5.3s	3P*	1	33.014713
2s2.2p5.3s	1P*	3	33.32236
2s2.2p5.3p	3S	3	36.354687
2s2.2p5.3p	3D	7	36.854156
2s2.2p5.3p	3D	5	36.902112
2s2.2p5.3p	3D	3	36.967803
2s2.2p5.3p	1D	5	37.094827
2s2.2p5.3p	1P	3	37.181047
2s2.2p5.3p	3P	5	37.208144
2s2.2p5.3p	3P	1	37.243343
2s2.2p5.3p	3P	3	37.258133
2s2.2p5.3p	1S	1	38.293858
2s2.2p5.(2P*<3/2>).3d	2[1/2]*	1	40.982896
2s2.2p5.(2P*<3/2>).3d	2[1/2]*	3	40.993732
2s2.2p5.(2P*<3/2>).3d	2[3/2]*	5	41.012615
2s2.2p5.(2P*<3/2>).3d	2[7/2]*	9	41.054024
2s2.2p5.(2P*<3/2>).3d	2[7/2]*	7	41.061917
2s2.2p5.(2P*<3/2>).4s	2[3/2]*	5	41.100329
2s2.2p5.(2P*<3/2>).3d	2[5/2]*	5	41.121292
2s2.2p5.(2P*<3/2>).3d	2[5/2]*	7	41.126538
2s2.2p5.(2P*<3/2>).3d	2[3/2]*	3	41.131145
2s2.2p5.(2P*<3/2>).4s	2[3/2]*	3	41.147123
2s2.2p5.(2P*<1/2>).4s	2[1/2]*	1	41.250796
2s2.2p5.(2P*<1/2>).3d	2[5/2]*	5	41.262215
2s2.2p5.(2P*<1/2>).3d	2[5/2]*	7	41.26714
2s2.2p5.(2P*<1/2>).3d	2[3/2]*	5	41.282097
2s2.2p5.(2P*<1/2>).4s	2[1/2]*	3	41.300096
2s2.2p5.(2P*<1/2>).3d	2[3/2]*	3	41.30694
2s2.2p5.(2P*<3/2>).4p	2[1/2]	3	42.18436
2s2.2p5.(2P*<3/2>).4p	2[5/2]	7	42.3103
2s2.2p5.(2P*<3/2>).4p	2[5/2]	5	42.33536
2s2.2p5.(2P*<3/2>).4p	2[3/2]	5	42.39106
2s2.2p5.(2P*<1/2>).4p	2[3/2]	3	42.49417
2s2.2p5.(2P*<1/2>).4p	2[1/2]	3	42.52298
2s2.2p5.(2P*<3/2>).4d	2[1/2]*	1	43.76268
2s2.2p5.(2P*<3/2>).4d	2[1/2]*	3	43.7705
2s2.2p5.(2P*<3/2>).4d	2[3/2]*	5	43.78524
2s2.2p5.(2P*<3/2>).4d	2[7/2]*	9	43.79154
2s2.2p5.(2P*<3/2>).4d	2[7/2]*	7	43.79623
2s2.2p5.(2P*<3/2>).4d	2[5/2]*	5	43.82385
2s2.2p5.(2P*<3/2>).4d	2[5/2]*	7	43.82641
2s2.2p5.(2P*<3/2>).5s	2[3/2]*	5	43.83296
2s2.2p5.(2P*<3/2>).4d	2[3/2]*	3	43.84089
2s2.2p5.(2P*<3/2>).5s	2[3/2]*	3	43.8556
2s2.2p5.(2P*<3/2>).4f	2[3/2]	3	43.870225
2s2.2p5.(2P*<3/2>).4f	2[3/2]	5	43.870375
2s2.2p5.(2P*<3/2>).4f	2[9/2]	11	43.875668
2s2.2p5.(2P*<3/2>).4f	2[9/2]	9	43.875672
2s2.2p5.(2P*<3/2>).4f	2[5/2]	7	43.881207
2s2.2p5.(2P*<3/2>).4f	2[5/2]	5	43.881317
2s2.2p5.(2P*<3/2>).4f	2[7/2]	7	43.886986
2s2.2p5.(2P*<3/2>).4f	2[7/2]	9	43.887012
2s2.2p5.(2P*<1/2>).4d	2[5/2]*	5	43.95566
2s2.2p5.(2P*<1/2>).4d	2[5/2]*	7	43.95974
2s2.2p5.(2P*<1/2>).4d	2[3/2]*	5	43.97806
2s2.2p5.(2P*<1/2>).5s	2[1/2]*	1	43.99701
