Configuration	Term	g	Level (eV)
2s2.2p5.(2P*<1/2>).4d	2[3/2]*	3	43.99908
2s2.2p5.(2P*<1/2>).5s	2[1/2]*	3	44.01412
2s2.2p5.(2P*<1/2>).4f	2[7/2]	7	44.049216
2s2.2p5.(2P*<1/2>).4f	2[7/2]	9	44.049249
2s2.2p5.(2P*<1/2>).4f	2[5/2]	7	44.049564
2s2.2p5.(2P*<1/2>).4f	2[5/2]	5	44.049667
2s2.2p5.(2P*<3/2>).5d	2[1/2]*	1	45.04745
2s2.2p5.(2P*<3/2>).5d	2[1/2]*	3	45.04934
2s2.2p5.(2P*<3/2>).5d	2[3/2]*	5	45.06103
2s2.2p5.(2P*<3/2>).6s	2[3/2]*	5	45.08192
2s2.2p5.(2P*<3/2>).5d	2[3/2]*	3	45.08461
2s2.2p5.(2P*<3/2>).6s	2[3/2]*	3	45.09625
2s2.2p5.(2P*<3/2>).5f	2[3/2]	3	45.10148
2s2.2p5.(2P*<3/2>).5f	2[3/2]	5	45.10161
2s2.2p5.(2P*<3/2>).5f	2[9/2]	11	45.10429
2s2.2p5.(2P*<3/2>).5f	2[9/2]	9	45.10429
2s2.2p5.(2P*<3/2>).5f	2[5/2]	7	45.10728
2s2.2p5.(2P*<3/2>).5f	2[5/2]	5	45.10736
2s2.2p5.(2P*<3/2>).5f	2[7/2]	7	45.11014
2s2.2p5.(2P*<3/2>).5f	2[7/2]	9	45.11015
2s2.2p5.(2P*<1/2>).5d	2[3/2]*	5	45.2225
2s2.2p5.(2P*<1/2>).5d	2[3/2]*	3	45.24569
2s2.2p5.(2P*<1/2>).6s	2[1/2]*	1	45.25546
2s2.2p5.(2P*<1/2>).6s	2[1/2]*	3	45.25963
2s2.2p5.(2P*<1/2>).5f	2[7/2]	7	45.275733
2s2.2p5.(2P*<1/2>).5f	2[7/2]	9	45.27577
2s2.2p5.(2P*<1/2>).5f	2[5/2]	7	45.275818
2s2.2p5.(2P*<3/2>).6d	2[1/2]*	3	45.68745
2s2.2p5.(2P*<3/2>).7s	2[3/2]*	3	45.75891
2s2.2p5.(2P*<3/2>).6f	2[3/2]	3	45.769846
2s2.2p5.(2P*<3/2>).6f	2[3/2]	5	45.769939
2s2.2p5.(2P*<3/2>).6f	2[9/2]	11	45.771485
2s2.2p5.(2P*<3/2>).6f	2[9/2]	9	45.771495
2s2.2p5.(2P*<3/2>).6g	2[5/2]*	12	45.772984
2s2.2p5.(2P*<3/2>).6f	2[5/2]	7	45.773292
2s2.2p5.(2P*<3/2>).6f	2[5/2]	5	45.77332
2s2.2p5.(2P*<3/2>).6g	2[11/2]*	24	45.773629
2s2.2p5.(2P*<3/2>).6g	2[7/2]*	16	45.7748
2s2.2p5.(2P*<3/2>).6f	2[7/2]	16	45.77492
2s2.2p5.(2P*<3/2>).6g	2[9/2]*	20	45.77539
2s2.2p5.(2P*<1/2>).6d	2[3/2]*	3	45.87857
2s2.2p5.(2P*<1/2>).7s	2[1/2]*	3	45.92109
2s2.2p5.(2P*<1/2>).6f	2[7/2]	16	45.94207
2s2.2p5.(2P*<1/2>).6f	2[5/2]	7	45.942104
2s2.2p5.(2P*<1/2>).6f	2[5/2]	5	45.942158
2s2.2p5.(2P*<1/2>).6g	2[9/2]*	20	45.94366
2s2.2p5.(2P*<1/2>).6g	2[7/2]*	16	45.94366
2s2.2p5.(2P*<3/2>).8s	2[3/2]*	3	46.111
2s2.2p5.(2P*<3/2>).7d	2[3/2]*	3	46.111
2s2.2p5.(2P*<3/2>).7f	2[3/2]	3	46.17266
2s2.2p5.(2P*<3/2>).7f	2[3/2]	5	46.17269
2s2.2p5.(2P*<3/2>).7f	2[9/2]	20	46.17369
2s2.2p5.(2P*<3/2>).7g	2[5/2]*	12	46.17462
2s2.2p5.(2P*<3/2>).7f	2[5/2]	12	46.17486
2s2.2p5.(2P*<3/2>).7g	2[11/2]*	24	46.17503
2s2.2p5.(2P*<3/2>).7g	2[7/2]*	16	46.17572
2s2.2p5.(2P*<3/2>).7f	2[7/2]	16	46.17584
2s2.2p5.(2P*<3/2>).7g	2[9/2]*	20	46.1762
2s2.2p5.(2P*<1/2>).7d	2[3/2]*	3	46.33
2s2.2p5.(2P*<1/2>).8s	2[3/2]*	3	46.33
2s2.2p5.(2P*<1/2>).7f	2[7/2]	16	46.34378
2s2.2p5.(2P*<1/2>).7f	2[5/2]	12	46.34382
2s2.2p5.(2P*<1/2>).7g	2[7/2]*	16	46.34485
2s2.2p5.(2P*<1/2>).7g	2[9/2]*	20	46.34485
2s2.2p5.(2P*<3/2>).9s	2[3/2]*	3	46.426
2s2.2p5.(2P*<3/2>).8d	2[3/2]*	3	46.426
2s2.2p5.(2P*<3/2>).8f	2[3/2]	8	46.43393
2s2.2p5.(2P*<3/2>).8f	2[9/2]	20	46.4346
2s2.2p5.(2P*<3/2>).8f	2[7/2]	16	46.43606
2s2.2p5.(2P*<3/2>).9d	2[3/2]*	3	46.601
2s2.2p5.(2P*<1/2>).8d	2[3/2]*	3	46.601
2s2.2p5.(2P*<3/2>).10s	2[3/2]*	3	46.601
2s2.2p5.(2P*<1/2>).9s	2[3/2]*	3	46.601
2s2.2p5.(2P*<1/2>).8f	2[5/2]	12	46.60442
2s2.2p5.(2P*<1/2>).8f	2[7/2]	16	46.60442
2s2.2p5.(2P*<3/2>).10d	2[3/2]*	3	46.733
2s2.2p5.(2P*<3/2>).11s	2[3/2]*	3	46.733
2s2.2p5.(2P*<1/2>).10s	2[3/2]*	3	46.772
2s2.2p5.(2P*<1/2>).9d	2[3/2]*	3	46.772
2s2.2p5.(2P*<3/2>).11d	2[3/2]*	3	46.829
2s2.2p5.(2P*<3/2>).12s	2[3/2]*	3	46.829
2s2.2p5.(2P*<3/2>).13s	2[3/2]*	3	46.903
2s2.2p5.(2P*<1/2>).10d	2[3/2]*	3	46.903
2s2.2p5.(2P*<1/2>).11s	2[3/2]*	3	46.903
2s2.2p5.(2P*<3/2>).12d	2[3/2]*	3	46.903
2s2.2p5.(2P*<1/2>).11d	2[3/2]*	3	46.997
2s2.2p5.(2P*<1/2>).12s	2[3/2]*	3	46.997
2s2.2p5.(2P*<1/2>).13s	2[3/2]*	3	47.072
2s2.2p5.(2P*<1/2>).12d	2[3/2]*	3	47.072
2s2.2p5.(2P*<1/2>).13d	2[3/2]*	3	47.131
2s2.2p5.(2P*<1/2>).14s	2[3/2]*	3	47.131
2s.2p6.3s	3S	3	65.823
2s.2p6.3s	1S	1	66.245
2s.2p6.3p	3P*	9	69.716
2s.2p6.3p	1P*	3	69.952
2s.2p6.4s	3S	3	73.895
2s.2p6.4s	1S	1	74.019
2s.2p6.4p	3P*	9	75.11
2s.2p6.4p	1P*	3	75.196
2s.2p6.5p	1P*	3	77.168
2s.2p6.6p	1P*	3	78.135
2s.2p6.7p	1P*	3	78.693
2s.2p6.8p	1P*	3	79.028
