Configuration	Term	g	Level (eV)
2s2.2p4.(3P<2>).4f	2[2]*	4	63.94661
2s2.2p4.(3P<2>).4f	2[2]*	6	63.94778
2s2.2p4.(3P<2>).4f	2[5]*	12	63.95997
2s2.2p4.(3P<2>).4f	2[5]*	10	63.96008
2s2.2p4.(3P).4d	2P	4	63.9739
2s2.2p4.(3P<2>).4f	2[1]*	2	63.97516
2s2.2p4.(3P<2>).4f	2[1]*	4	63.97592
2s2.2p4.(3P<1>).4f	2[2]*	4	64.07724
2s2.2p4.(3P<1>).4f	2[2]*	6	64.07796
2s2.2p4.(3P<1>).4f	2[4]*	10	64.08246
2s2.2p4.(3P<1>).4f	2[4]*	8	64.08305
2s2.2p4.(3P<1>).4f	2[3]*	8	64.1035
2s2.2p4.(3P<1>).4f	2[3]*	6	64.10392
2s2.2p4.(3P<0>).4f	2[3]*	8	64.14627
2s2.2p4.(3P<0>).4f	2[3]*	6	64.14664
2s2.2p4.(3P).5s	2P	4	64.809
2s2.2p4.(3P).5s	2P	2	64.9091
2s2.2p4.(1S).3d	2D	6	65.644876
2s2.2p4.(1S).3d	2D	4	65.649347
2s2.2p4.(1D).4d	2S	2	67.4028
2s2.2p4.(1D).4d	2P	4	67.4754
2s2.2p4.(1D).4d	2P	2	67.4819
2s2.2p4.(1D).4d	2D	6	67.5403
2s2.2p4.(1D).4d	2D	4	67.5451
2s2.2p4.(1D).4d	2F	6	67.5608
2s2.2p4.(1D<2>).4f	2[1]*	4	67.71857
2s2.2p4.(1D<2>).4f	2[5]*	12	67.74996
2s2.2p4.(1D<2>).4f	2[5]*	10	67.75005
2s2.2p4.(1D<2>).4f	2[2]*	4	67.75852
2s2.2p4.(1D<2>).4f	2[2]*	6	67.75867
2s2.2p4.(1D<2>).4f	2[3]*	8	67.79581
2s2.2p4.(1D<2>).4f	2[3]*	6	67.79592
2s2.2p4.(1D<2>).4f	2[4]*	8	67.80539
2s2.2p4.(1D<2>).4f	2[4]*	10	67.80551
2s2.2p4.(1S).4s	2S	2	67.93227
2s2.2p4.(1D).5s	2D	4	68.4894
2s2.2p4.(1D).5s	2D	6	68.4909
