Configuration	Term	g	Level (eV)
2s2.2p5	2P*	4	0
2s2.2p5	2P*	2	0.16943
2s.2p6	2S	2	32.78824
2s2.2p4.(3P).3s	4P	6	45.397361
2s2.2p4.(3P).3s	4P	4	45.507242
2s2.2p4.(3P).3s	4P	2	45.570413
2s2.2p4.(3P).3s	2P	4	46.324503
2s2.2p4.(3P).3s	2P	2	46.454388
2s2.2p4.(1D).3s	2D	6	49.491356
2s2.2p4.(1D).3s	2D	4	49.492298
2s2.2p4.(3P).3p	4P*	6	50.36116
2s2.2p4.(3P).3p	4P*	4	50.405854
2s2.2p4.(3P).3p	4P*	2	50.444844
2s2.2p4.(3P).3p	4D*	8	50.954646
2s2.2p4.(3P).3p	4D*	6	51.024008
2s2.2p4.(3P).3p	4D*	4	51.075511
2s2.2p4.(3P).3p	4D*	2	51.104979
2s2.2p4.(3P).3p	2D*	6	51.364403
2s2.2p4.(3P).3p	2D*	4	51.474802
2s2.2p4.(3P).3p	2S*	2	51.690166
2s2.2p4.(3P).3p	4S*	4	51.751497
2s2.2p4.(3P).3p	2P*	4	51.877158
2s2.2p4.(3P).3p	2P*	2	51.894397
2s2.2p4.(1S).3s	2S	2	53.936597
2s2.2p4.(1D).3p	2F*	6	54.669617
2s2.2p4.(1D).3p	2F*	8	54.683933
2s2.2p4.(1D).3p	2D*	4	55.271848
2s2.2p4.(1D).3p	2D*	6	55.281231
2s2.2p4.(1D).3p	2P*	4	55.488875
2s2.2p4.(1D).3p	2P*	2	55.558225
2s2.2p4.(3P).3d	4D	8	57.064621
2s2.2p4.(3P).3d	4D	6	57.083527
2s2.2p4.(3P).3d	4D	4	57.10633
2s2.2p4.(3P).3d	4D	2	57.125345
2s2.2p4.(3P).3d	4F	10	57.391174
2s2.2p4.(3P).3d	4F	8	57.435154
2s2.2p4.(3P).3d	4F	6	57.490468
2s2.2p4.(3P).3d	2F	8	57.525062
2s2.2p4.(3P).3d	4F	4	57.538234
2s2.2p4.(3P).3d	2F	6	57.577043
2s2.2p4.(3P).3d	4P	2	57.579742
2s2.2p4.(3P).3d	4P	4	57.606938
2s2.2p4.(3P).3d	4P	6	57.645879
2s2.2p4.(3P).3d	2D	4	57.654862
2s2.2p4.(3P).3d	2D	6	57.702071
2s2.2p4.(3P).3d	2P	2	57.778113
2s2.2p4.(3P).3d	2P	4	57.874339
2s2.2p4.(1S).3p	2P*	2	59.368964
2s2.2p4.(1S).3p	2P*	4	59.374057
2s2.2p4.(3P).4s	4P	6	59.509357
2s2.2p4.(3P).4s	4P	4	59.609024
2s2.2p4.(3P).4s	4P	2	59.680866
2s2.2p4.(3P).4s	2P	4	59.81025
2s2.2p4.(3P).4s	2P	2	59.932541
2s2.2p4.(1D).3d	2G	10	61.039145
2s2.2p4.(1D).3d	2G	8	61.039455
2s2.2p4.(1D).3d	2P	4	61.148022
2s2.2p4.(1D).3d	2P	2	61.160658
2s2.2p4.(1D).3d	2S	2	61.229502
2s2.2p4.(1D).3d	2D	6	61.322923
2s2.2p4.(1D).3d	2D	4	61.333229
2s2.2p4.(1D).3d	2F	6	61.42546
2s2.2p4.(1D).3d	2F	8	61.426136
2s2.2p4.(1D).4s	2D	4	63.409709
2s2.2p4.(1D).4s	2D	6	63.409771
2s2.2p4.(3P).4d	4F	6	63.7287
2s2.2p4.(3P).4d	4P	4	63.7364
2s2.2p4.(3P).4d	4F	4	63.7578
2s2.2p4.(3P).4d	4P	6	63.8033
2s2.2p4.(3P).4d	2F	6	63.8132
2s2.2p4.(3P).4d	2D	4	63.854
2s2.2p4.(3P).4d	2P	2	63.8692
2s2.2p4.(3P).4d	2D	6	63.8971
2s2.2p4.(3P<2>).4f	2[4]*	10	63.92571
2s2.2p4.(3P<2>).4f	2[4]*	8	63.92715
2s2.2p4.(3P<2>).4f	2[3]*	6	63.9306
2s2.2p4.(3P<2>).4f	2[3]*	8	63.93064
