Configuration	Term	g	Level (eV)
3p6.4s	2S	2	0
3p6.4p	2P*	2	1.60995783
3p6.4p	2P*	4	1.617112996
3p6.5s	2S	2	2.60696
3p6.3d	2D	6	2.66996
3p6.3d	2D	4	2.6702462
3p6.5p	2P*	2	3.062581
3p6.5p	2P*	4	3.0649066
3p6.4d	2D	6	3.3968046
3p6.4d	2D	4	3.3969373
3p6.6s	2S	2	3.4034543
3p6.4f	2F*	6	3.487409
3p6.4f	2F*	8	3.487409
3p6.6p	2P*	2	3.595451
3p6.6p	2P*	4	3.596498
3p6.5d	2D	6	3.7424932
3p6.5d	2D	4	3.7425557
3p6.7s	2S	2	3.7535284
3p6.5f	2F*	6	3.794751
3p6.5f	2F*	8	3.794751
3p6.5g	2G	8	3.7960626
3p6.5g	2G	10	3.7960626
3p6.7p	2P*	2	3.852177
3p6.7p	2P*	4	3.852735
3p6.6d	2D	6	3.9297908
3p6.6d	2D	4	3.9298237
3p6.8s	2S	2	3.9384047
3p6.6f	2F*	6	3.961688
3p6.6f	2F*	8	3.961688
3p6.8p	2P*	2	3.995693
3p6.8p	2P*	4	3.996024
3p6.7d	2D	6	4.04167259
3p6.7d	2D	4	4.04169188
3p6.9s	2S	2	4.04787961
3p6.7f	2F*	6	4.062317
3p6.7f	2F*	8	4.062317
3p6.9p	2P*	2	4.0840646
3p6.9p	2P*	4	4.0842783
3p6.8d	2D	6	4.1135643
3p6.8d	2D	4	4.11357652
3p6.10s	2S	2	4.11803924
3p6.8f	2F*	6	4.127608
3p6.8f	2F*	8	4.127608
3p6.10p	2P*	2	4.1423406
3p6.10p	2P*	4	4.1424854
3p6.9d	2D	6	4.16240481
3p6.9d	2D	4	4.16241296
3p6.11s	2S	2	4.16569046
3p6.9f	2F*	6	4.172356
3p6.9f	2F*	8	4.172356
3p6.11p	2P*	2	4.1827926
3p6.11p	2P*	4	4.1828956
3p6.10d	2D	6	4.19706291
3p6.10d	2D	4	4.19706864
3p6.12s	2S	2	4.19952811
3p6.10f	2F*	6	4.204356
3p6.10f	2F*	8	4.204356
3p6.12p	2P*	2	4.2120167
3p6.12p	2P*	4	4.2120922
3p6.11d	2D	6	4.22253044
3p6.11d	2D	4	4.22253458
3p6.13s	2S	2	4.22441924
3p6.11f	2F*	6	4.22803
3p6.11f	2F*	8	4.22803
3p6.13p	2P*	2	4.2338159
3p6.13p	2P*	4	4.2338726
3p6.12d	2D	6	4.24178628
3p6.12d	2D	4	4.24178943
3p6.14s	2S	2	4.24326137
3p6.12f	2F*	6	4.246009
3p6.12f	2F*	8	4.246009
3p6.14p	2P*	2	4.2505077
3p6.14p	2P*	4	4.2505525
3p6.13d	2D	6	4.25669523
3p6.13d	2D	4	4.25669766
3p6.15s	2S	2	4.25786717
3p6.13f	2F*	6	4.260018
3p6.13f	2F*	8	4.260018
3p6.15p	2P*	2	4.2635725
3p6.15p	2P*	4	4.2636076
3p6.14d	2D	6	4.26847232
3p6.14d	2D	4	4.26847423
3p6.16s	2S	2	4.26941768
3p6.14f	2F*	6	4.271129
3p6.14f	2F*	8	4.271129
3p6.16p	2P*	2	4.2739895
3p6.16p	2P*	4	4.2740179
3p6.15d	2D	6	4.27793641
3p6.15d	2D	4	4.27793794
3p6.17s	2S	2	4.27870941
3p6.17p	2P*	2	4.2824297
3p6.17p	2P*	4	4.2824525
3p6.16d	2D	6	4.28565537
3p6.16d	2D	4	4.28565664
3p6.18s	2S	2	4.28629509
3p6.18p	2P*	2	4.2893628
3p6.18p	2P*	4	4.289382
3p6.17d	2D	6	4.29203306
3p6.17d	2D	4	4.2920341
3p6.19s	2S	2	4.29256819
3p6.19p	2P*	4	4.2951436
3p6.18d	2D	6	4.29736298
3p6.18d	2D	4	4.29736385
3p6.20s	2S	2	4.29781501
3p6.20p	2P*	4	4.2999855
3p6.19d	2D	6	4.3018627
3p6.19d	2D	4	4.30186344
3p6.21s	2S	2	4.30224783
3p6.21p	2P*	4	4.3040946
3p6.20d	2D	6	4.30569591
