Configuration	Term	g	Level (eV)
3p6.20d	2D	4	4.30569654
3p6.22s	2S	2	4.30602667
3p6.21d	2D	6	4.30898805
3p6.21d	2D	4	4.30898859
3p6.23s	2S	2	4.3092742
3p6.22d	2D	6	4.31183635
3p6.22d	2D	4	4.31183682
3p6.24s	2S	2	4.31208542
3p6.23d	2D	6	4.31431706
3p6.23d	2D	4	4.31431747
3p6.25s	2S	2	4.31453526
3p6.24d	2D	6	4.31649089
3p6.24d	2D	4	4.31649126
3p6.26s	2S	2	4.31668305
3p6.25d	2D	6	4.31840641
3p6.25d	2D	4	4.31840672
3p6.27s	2S	2	4.31857652
3p6.26d	2D	6	4.32010294
3p6.26d	2D	4	4.32010323
3p6.28s	2S	2	4.3202542
3p6.27d	2D	6	4.32161265
3p6.27d	2D	4	4.3216129
3p6.29s	2S	2	4.32174779
3p6.28d	2D	6	4.32296202
3p6.28d	2D	4	4.32296226
3p6.30s	2S	2	4.32308323
3p6.29d	2D	6	4.32417292
3p6.29d	2D	4	4.32417313
3p6.31s	2S	2	4.32428204
3p6.30d	2D	6	4.32526371
3p6.30d	2D	4	4.32526389
3p6.32s	2S	2	4.32536229
3p6.31d	2D	6	4.32624976
3p6.31d	2D	4	4.32624992
3p6.33s	2S	2	4.32633911
3p6.32d	2D	6	4.32714404
3p6.32d	2D	4	4.32714419
3p6.34s	2S	2	4.32722534
3p6.33d	2D	6	4.32795762
3p6.33d	2D	4	4.32795775
3p6.35s	2S	2	4.3280317
3p6.34d	2D	6	4.32869988
3p6.34d	2D	4	4.32870001
3p6.36s	2S	2	4.32876762
3p6.35d	2D	6	4.329379
3p6.35d	2D	4	4.32937909
3p6.37s	2S	2	4.32944109
3p6.36d	2D	6	4.33000183
3p6.36d	2D	4	4.33000194
3p6.38s	2S	2	4.33005892
3p6.37d	2D	6	4.33057455
3p6.37d	2D	4	4.33057464
3p6.39s	2S	2	4.33062709
3p6.38d	2D	6	4.33110229
3p6.38d	2D	4	4.33110239
3p6.40s	2S	2	4.3311508
3p6.39d	2D	6	4.3315897
3p6.39d	2D	4	4.33158977
3p6.41s	2S	2	4.33163457
3p6.40d	2D	6	4.33204075
3p6.40d	2D	4	4.33204084
3p6.42s	2S	2	4.33208236
3p6.41d	2D	6	4.33245899
3p6.41d	2D	4	4.33245907
3p6.43s	2S	2	4.33249759
3p6.42d	2D	6	4.33284755
3p6.42d	2D	4	4.3328476
3p6.44s	2S	2	4.33288343
3p6.43d	2D	6	4.33320909
3p6.43d	2D	4	4.33320916
3p6.45s	2S	2	4.33324255
3p6.44d	2D	6	4.33354614
3p6.44d	2D	4	4.33354622
3p6.46s	2S	2	4.33357736
3p6.45d	2D	6	4.33386084
3p6.45d	2D	4	4.3338609
3p6.46d	2D	6	4.3341551
3p6.46d	2D	4	4.33415518
3p5.4s2	2P*	4	18.7226
3p5.4s2	2P*	2	18.9801
3p5.3d.(3P*).4s	4P*	2	19.759
3p5.3d.(3P*).4s	4P*	4	19.7975
3p5.3d.(3P*).4s	4P*	6	19.868
3p5.(2P*).4s.4p.(3P*)	4S	4	20.02
3p5.3d.(3P*).4s	2P*	2	20.1355
3p5.3d.(3P*).4s	2P*	4	20.2102
3p5.(2P*).4s.4p.(3P*)	4D	4	20.396
3p5.(2P*).4s.4p.(3P*)	4D	2	20.457
3p5.3d.(3F*).4s	4F*	8	20.484
3p5.3d.(3F*).4s	4F*	6	20.548
3p5.3d.(3F*).4s	4F*	4	20.609
3p5.(2P*).4s.4p.(3P*)	2D	4	20.644
3p5.(2P*).4s.4p.(3P*)	2D	6	20.699
3p5.3d.(3F*).4s	2F*	8	20.771
3p5.3d.(3F*).4s	2F*	6	20.825
3p5.(2P*).4s.4p.(3P*)	2P	2	20.876
3p5.(2P*).4s.4p.(3P*)	2P	4	20.893
3p5.3d.(3D*).4s	4D*	8	21.334
3p5.3d.(3D*).4s	4D*	4	21.4025
3p5.3d.(3D*).4s	4D*	2	21.4245
3p5.3d.(1D*).4s	2D*	4	21.4738
3p5.3d.(1D*).4s	2D*	6	21.495
3p5.3d.(1F*).4s	2F*	8	21.613
3p5.3d.(1F*).4s	2F*	6	21.645
3p5.(2P*).4s.4p.(1P*)	2D	6	21.798
3p5.(2P*).4s.4p.(1P*)	2S	2	21.856
3p5.(2P*).4s.4p.(1P*)	2D	4	22.041
3p5.3d.(3D*).4s	2D*	6	22.261
3p5.3d.(3D*).4s	2D*	4	22.30315
3p5.(2P*).4s.4p.(1P*)	2P	4	22.356
3p5.4s.(1P*).5s	2P*	4	22.85611
3p5.4s.(1P*).5s	2P*	2	22.95605
3p5.4s.(1P*).6s	2P*	6	23.9379
3p5.4s.(1P*).5d	2D*	4	24.0227
3p5.4s.(1P*).5d	2P*	2	24.0462
3p5.4s.(1P*).5d	2P*	4	24.0622
3p5.4s.(1P*).7s	2P*	6	24.3403
3p5.4s.(1P*).6d	2P*	4	24.3457
3p5.4s.(1P*).6d	2P*	2	24.391
3p5.4s.(1P*).6d	2D*	4	24.4039
3p5.4s.(1P*).8s	2P*	2	24.535
3p5.4s.(1P*).8s	2P*	4	24.5429
3p5.4s.(1P*).7d	2P*	6	24.5552
3p5.4s.(1P*).8d	2P*?	6	24.66
3p5.4s.(1P*).9s	2P*?	6	24.66
3p5.4s.(1P*).10s	2P*	6	24.7432
3p5.4s.(1P*).11s	2P*	6	24.794
3p5.4s.(1P*).10d	2P*	6	24.794
3p5.4s.(1P*).12s	2P*	6	24.83
3p5.4s.(1P*).11d	2P*	6	24.83
3p5.4s.(1P*).13s	2P*	6	24.858
3p5.4s.(1P*).12d	2P*	6	24.858
3p5.4s.(1P*).14s	2P*	6	24.879
3p5.4s.(1P*).13d	2P*	6	24.879
3p5.4s.(1P*).15s	2P*	6	24.8927
3p5.4s.(1P*).14d	2P*	6	24.8927
3p5.4s.(1P*).16s	2P*	6	24.9053
3p5.4s.(1P*).15d	2P*	6	24.9053
3p5.4s.(1P*).17s	2P*	6	24.9149
3p5.4s.(1P*).16d	2P*	6	24.9149
3p5.4s.(1P*).17d	2P*	6	24.9226
3p5.4s.(1P*).18s	2P*	6	24.9226
3p5.4s.(1P*).18d	2P*	6	24.9293
3p5.4s.(1P*).19s	2P*	6	24.9293
3p5.4s.(1P*).19d	2P*	6	24.9347
3p5.4s.(1P*).20s	2P*	6	24.9347
3p5.4s.(1P*).20d	2P*	6	24.9393
3p5.4s.(1P*).21s	2P*	6	24.9393
3p5.4s.(1P*).22s	2P*	6	24.9431
3p5.4s.(1P*).21d	2P*	6	24.9431
3p5.4s.(1P*).23s	2P*	6	24.9466
3p5.4s.(1P*).22d	2P*	6	24.9466
3p5.4s.(1P*).24s	2P*	6	24.9495
3p5.4s.(1P*).23d	2P*	6	24.9495
3p5.4s.(1P*).25s	2P*	6	24.9522
3p5.4s.(1P*).24d	2P*	6	24.9522
3p5.4s.(1P*).26s	2P*	6	24.9543
3p5.4s.(1P*).25d	2P*	6	24.9543
3p5.4s.(1P*).27s	2P*	6	24.9563
3p5.4s.(1P*).26d	2P*	6	24.9563
3p5.4s.(1P*).28s	2P*	6	24.9581
3p5.4s.(1P*).27d	2P*	6	24.9581
3p5.4s.(1P*).29s	2P*	6	24.9596
3p5.4s.(1P*).28d	2P*	6	24.9596
3p5.4s.(1P*).30s	2P*	6	24.961
3p5.4s.(1P*).29d	2P*	6	24.961
3p5.4s.(1P*).31s	2P*	6	24.9625
3p5.4s.(1P*).30d	2P*	6	24.9625
3p5.4s.(1P*).32s	2P*	6	24.9637
3p5.4s.(1P*).31d	2P*	6	24.9637
3p5.4s.(1P*).33s	2P*	6	24.965
3p5.4s.(1P*).32d	2P*	6	24.965
3p5.3d.(1P*).5s	2P*	6	26.5399
3p5.3d.(1P*).11s	2P*	6	29.1923
3p5.3d.(1P*).12s	2P*	6	29.2259
3p5.3d.(1P*).13s	2P*	6	29.2511
3p5.3d.(1P*).14s	2P*	6	29.2689
3p5.3d.(1P*).15s	2P*	6	29.2848
3p5.3d.(1P*).16s	2P*	6	29.2975
3p5.3d.(1P*).17s	2P*	6	29.3078
3p5.3d.(1P*).18s	2P*	6	29.3169
3p5.3d.(1P*).19s	2P*	6	29.3244
3p5.3d.(1P*).20s	2P*	6	29.3308
3p5.3d.(1P*).21s	2P*	6	29.3361
3p5.3d.(1P*).22s	2P*	6	29.3407
3p5.3d.(1P*).23s	2P*	6	29.3443
